"GEO_ID","NAME","B19013F_001E","B19013F_001M"
"id","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)"
"0500000US36095","Schoharie County, New York","68438","28776"
"0500000US36067","Onondaga County, New York","25455","9379"
"0500000US36019","Clinton County, New York","41579","19718"
"0500000US36099","Seneca County, New York","35750","30205"
"0500000US36079","Putnam County, New York","73882","29883"
"0500000US36033","Franklin County, New York","54375","7481"
"0500000US36069","Ontario County, New York","34167","17101"
"0500000US36081","Queens County, New York","53935","1371"
"0500000US36101","Steuben County, New York","-","**"
"0500000US36041","Hamilton County, New York","-","**"
"0500000US36115","Washington County, New York","60074","17399"
"0500000US36013","Chautauqua County, New York","23441","6465"
"0500000US36047","Kings County, New York","36614","1101"
"0500000US36061","New York County, New York","34616","1714"
"0500000US36107","Tioga County, New York","29300","18802"
"0500000US36011","Cayuga County, New York","24231","10987"
"0500000US36073","Orleans County, New York","18400","2536"
"0500000US36091","Saratoga County, New York","90453","5352"
"0500000US36087","Rockland County, New York","56376","5605"
"0500000US36021","Columbia County, New York","26810","20346"
"0500000US36049","Lewis County, New York","27829","18088"
"0500000US36063","Niagara County, New York","27303","24838"
"0500000US36119","Westchester County, New York","53608","2269"
"0500000US36025","Delaware County, New York","23561","770"
"0500000US36031","Essex County, New York","-","**"
"0500000US36057","Montgomery County, New York","27156","4955"
"0500000US36059","Nassau County, New York","68377","3233"
"0500000US36085","Richmond County, New York","51467","5077"
"0500000US36097","Schuyler County, New York","-","**"
"0500000US36109","Tompkins County, New York","-","**"
"0500000US36017","Chenango County, New York","54000","38626"
"0500000US36023","Cortland County, New York","21455","7330"
"0500000US36045","Jefferson County, New York","43590","5471"
"0500000US36065","Oneida County, New York","21988","5160"
"0500000US36103","Suffolk County, New York","75135","3219"
"0500000US36121","Wyoming County, New York","-","**"
"0500000US36015","Chemung County, New York","57821","39173"
"0500000US36075","Oswego County, New York","-","**"
"0500000US36077","Otsego County, New York","-","**"
"0500000US36117","Wayne County, New York","37548","20156"
"0500000US36001","Albany County, New York","36309","10755"
"0500000US36007","Broome County, New York","20128","8295"
"0500000US36029","Erie County, New York","20377","2383"
"0500000US36053","Madison County, New York","-","**"
"0500000US36105","Sullivan County, New York","40369","8006"
"0500000US36037","Genesee County, New York","32028","8387"
"0500000US36071","Orange County, New York","54055","6454"
"0500000US36005","Bronx County, New York","30790","732"
"0500000US36035","Fulton County, New York","19737","12542"
"0500000US36083","Rensselaer County, New York","36356","1597"
"0500000US36027","Dutchess County, New York","46866","11068"
"0500000US36043","Herkimer County, New York","81094","38678"
"0500000US36089","St. Lawrence County, New York","55455","27534"
"0500000US36113","Warren County, New York","14189","9627"
"0500000US36055","Monroe County, New York","31164","2017"
"0500000US36111","Ulster County, New York","38423","9927"
"0500000US36051","Livingston County, New York","36210","25273"
"0500000US36039","Greene County, New York","61333","6742"
"0500000US36003","Allegany County, New York","-","**"
"0500000US36009","Cattaraugus County, New York","32450","4494"
"0500000US36093","Schenectady County, New York","47321","8146"
"0500000US36123","Yates County, New York","56250","46864"
